,enter_time,leave_time
flow_2756_0,131.0,200.0
flow_2757_0,134.0,204.0
flow_2758_0,142.0,212.0
flow_2759_0,191.0,724.0
flow_2760_0,194.0,264.0
flow_2761_0,231.0,301.0
flow_2024_0,232.0,285.0
flow_2765_0,233.0,302.0
flow_2028_0,238.0,366.0
flow_2766_0,251.0,321.0
flow_2029_0,253.0,322.0
flow_607_0,255.0,324.0
flow_2768_0,272.0,341.0
flow_2038_0,278.0,330.0
flow_619_0,301.0,370.0
flow_2772_0,331.0,400.0
flow_2773_0,361.0,431.0
flow_2775_0,363.0,436.0
flow_2054_0,364.0,426.0
flow_2057_0,370.0,586.0
flow_1442_0,370.0,422.0
flow_2058_0,372.0,431.0
flow_2776_0,381.0,456.0
flow_2777_0,383.0,461.0
flow_2061_0,384.0,437.0
flow_2027_0,401.0,476.0
flow_2046_0,404.0,526.0
flow_2779_0,421.0,491.0
flow_1440_0,428.0,531.0
flow_214_0,431.0,486.0
flow_2780_0,441.0,510.0
flow_1444_0,444.0,547.0
flow_1847_0,452.0,505.0
flow_1447_0,502.0,555.0
flow_1448_0,505.0,558.0
flow_2785_0,521.0,596.0
flow_2079_0,521.0,596.0
flow_2094_0,535.0,606.0
flow_2097_0,541.0,610.0
flow_2098_0,543.0,626.0
flow_1452_0,552.0,605.0
flow_2787_0,561.0,631.0
flow_649_0,571.0,630.0
flow_2789_0,581.0,656.0
flow_1441_0,584.0,676.0
flow_239_0,601.0,670.0
flow_670_0,608.0,686.0
flow_2764_0,611.0,676.0
flow_2093_0,633.0,836.0
flow_2792_0,641.0,710.0
flow_2121_0,644.0,697.0
flow_1239_0,664.0,716.0
flow_1459_0,672.0,725.0
flow_683_0,675.0,746.0
flow_2130_0,692.0,745.0
flow_1461_0,692.0,756.0
flow_2796_0,693.0,840.0
flow_2102_0,706.0,926.0
flow_2797_0,710.0,1447.0
flow_2136_0,712.0,765.0
flow_1463_0,713.0,776.0
flow_1464_0,715.0,780.0
flow_2798_0,731.0,931.0
flow_222_0,741.0,1316.0
flow_2051_0,744.0,807.0
flow_2799_0,751.0,821.0
flow_690_0,751.0,806.0
flow_1857_0,763.0,847.0
flow_1468_0,773.0,826.0
flow_2801_0,773.0,846.0
flow_2802_0,790.0,866.0
flow_2100_0,791.0,866.0
flow_1450_0,796.0,856.0
flow_1466_0,801.0,871.0
flow_1470_0,802.0,855.0
flow_2145_0,812.0,876.0
flow_36_0,816.0,876.0
flow_2803_0,821.0,890.0
flow_266_0,831.0,901.0
flow_270_0,834.0,916.0
flow_2063_0,836.0,919.0
flow_718_0,861.0,987.0
flow_2805_0,871.0,940.0
flow_1234_0,875.0,944.0
flow_1683_0,881.0,950.0
flow_2110_0,885.0,986.0
flow_2169_0,897.0,991.0
flow_2175_0,903.0,1066.0
flow_2184_0,909.0,1070.0
flow_2166_0,911.0,1156.0
flow_2168_0,914.0,996.0
flow_285_0,915.0,1060.0
flow_729_0,931.0,1096.0
flow_1231_0,947.0,1018.0
flow_46_0,961.0,1030.0
flow_2150_0,965.0,1035.0
flow_2192_0,975.0,1100.0
flow_2811_0,981.0,1051.0
flow_2812_0,984.0,1076.0
flow_2096_0,991.0,1066.0
flow_2815_0,992.0,1081.0
flow_2199_0,992.0,1056.0
flow_1457_0,1001.0,1071.0
flow_2186_0,1004.0,1076.0
flow_768_0,1014.0,1156.0
flow_2817_0,1022.0,1091.0
flow_2212_0,1024.0,1116.0
flow_1473_0,1029.0,1106.0
flow_2214_0,1030.0,1083.0
flow_745_0,1031.0,1120.0
flow_2176_0,1031.0,1106.0
flow_755_0,1033.0,1136.0
flow_38_0,1043.0,1094.0
flow_2222_0,1044.0,1676.0
flow_2235_0,1050.0,1386.0
flow_2818_0,1051.0,1121.0
flow_2819_0,1053.0,1126.0
flow_777_0,1056.0,1131.0
flow_2810_0,1061.0,1116.0
flow_1488_0,1065.0,1117.0
flow_2820_0,1070.0,1146.0
flow_1692_0,1071.0,1160.0
flow_1877_0,1074.0,1146.0
flow_1694_0,1091.0,1166.0
flow_2821_0,1091.0,1166.0
flow_2226_0,1095.0,1147.0
flow_2191_0,1098.0,1186.0
flow_1490_0,1103.0,1176.0
flow_2236_0,1122.0,1176.0
flow_2254_0,1131.0,1216.0
flow_1258_0,1138.0,1221.0
flow_288_0,1141.0,1196.0
flow_766_0,1142.0,1193.0
flow_2129_0,1144.0,1196.0
flow_778_0,1144.0,1196.0
flow_1494_0,1147.0,1200.0
flow_1698_0,1150.0,1221.0
flow_2822_0,1151.0,1221.0
flow_2824_0,1154.0,1246.0
flow_1485_0,1166.0,1236.0
flow_2825_0,1171.0,1250.0
flow_2827_0,1173.0,1243.0
flow_2243_0,1175.0,1296.0
flow_43_0,1183.0,1296.0
flow_2828_0,1190.0,1260.0
flow_2218_0,1196.0,1266.0
flow_2829_0,1202.0,1271.0
flow_1886_0,1205.0,1301.0
flow_2261_0,1209.0,1261.0
flow_1693_0,1213.0,1265.0
flow_794_0,1222.0,1274.0
flow_800_0,1224.0,1277.0
flow_1500_0,1226.0,1301.0
flow_56_0,1231.0,1306.0
flow_1496_0,1233.0,1310.0
flow_304_0,1235.0,1306.0
flow_2830_0,1241.0,1326.0
flow_2831_0,1243.0,1330.0
flow_2832_0,1247.0,1332.0
flow_1476_0,1271.0,1341.0
flow_2833_0,1271.0,1341.0
flow_1505_0,1282.0,1347.0
flow_2834_0,1291.0,1361.0
flow_1271_0,1291.0,1351.0
flow_1282_0,1294.0,1972.0
flow_324_0,1301.0,1540.0
flow_2835_0,1311.0,1380.0
flow_824_0,1318.0,1387.0
flow_2292_0,1323.0,1386.0
flow_2293_0,1325.0,1390.0
flow_1281_0,1330.0,1399.0
flow_2836_0,1331.0,1526.0
flow_2242_0,1336.0,1531.0
flow_1460_0,1339.0,1409.0
flow_1509_0,1343.0,1406.0
flow_339_0,1351.0,1420.0
flow_2806_0,1357.0,1436.0
flow_2837_0,1361.0,1436.0
flow_1720_0,1363.0,1433.0
flow_2838_0,1363.0,1441.0
flow_2839_0,1380.0,1456.0
flow_828_0,1391.0,1447.0
flow_2840_0,1400.0,1676.0
flow_350_0,1400.0,1472.0
flow_1724_0,1404.0,1475.0
flow_2305_0,1405.0,1466.0
flow_2841_0,1420.0,1490.0
flow_1293_0,1428.0,1497.0
flow_2308_0,1442.0,1494.0
flow_2309_0,1448.0,1506.0
flow_60_0,1452.0,1504.0
flow_330_0,1455.0,1526.0
flow_1904_0,1461.0,1532.0
flow_1289_0,1461.0,1566.0
flow_1290_0,1465.0,1517.0
flow_2844_0,1477.0,1547.0
flow_2295_0,1486.0,1555.0
flow_2317_0,1497.0,1567.0
flow_2319_0,1503.0,1571.0
flow_2846_0,1520.0,1680.0
flow_846_0,1531.0,1582.0
flow_2847_0,1561.0,2034.0
flow_806_0,1573.0,1667.0
flow_1735_0,1590.0,1670.0
flow_853_0,1591.0,1647.0
flow_2348_0,1592.0,1645.0
flow_855_0,1594.0,1656.0
flow_2357_0,1607.0,1686.0
flow_2358_0,1609.0,1690.0
flow_302_0,1611.0,1726.0
flow_2851_0,1621.0,1731.0
flow_2852_0,1624.0,1846.0
flow_383_0,1631.0,1686.0
flow_2361_0,1639.0,1691.0
flow_2853_0,1641.0,1766.0
flow_2239_0,1641.0,1727.0
flow_2339_0,1643.0,1730.0
flow_2855_0,1661.0,1770.0
flow_2318_0,1666.0,1736.0
flow_859_0,1670.0,1722.0
flow_1523_0,1673.0,1737.0
flow_2856_0,1691.0,1761.0
flow_2857_0,1694.0,1772.0
flow_1528_0,1695.0,1746.0
flow_351_0,1709.0,1846.0
flow_2858_0,1731.0,1851.0
flow_886_0,1732.0,1783.0
flow_2859_0,1734.0,1804.0
flow_2376_0,1735.0,1787.0
flow_2861_0,1751.0,1826.0
flow_2379_0,1752.0,1805.0
flow_405_0,1752.0,1826.0
flow_2863_0,1759.0,1829.0
flow_1529_0,1762.0,1815.0
flow_392_0,1771.0,1836.0
flow_1721_0,1774.0,1987.0
flow_2384_0,1776.0,1986.0
flow_1739_0,1780.0,1836.0
flow_854_0,1790.0,1841.0
flow_838_0,1791.0,1861.0
flow_2864_0,1801.0,1871.0
flow_2866_0,1804.0,1876.0
flow_1534_0,1832.0,1887.0
flow_903_0,1841.0,1893.0
flow_905_0,1844.0,1896.0
flow_2867_0,1861.0,1930.0
flow_2869_0,1863.0,1946.0
flow_2871_0,1881.0,1951.0
flow_2872_0,1884.0,1966.0
flow_939_0,1895.0,1970.0
flow_1746_0,1901.0,1953.0
flow_2415_0,1904.0,1996.0
flow_2383_0,1916.0,2016.0
flow_1538_0,1935.0,1988.0
flow_922_0,1941.0,1993.0
flow_2875_0,1941.0,2020.0
flow_924_0,1944.0,2006.0
flow_1540_0,1952.0,2006.0
flow_1526_0,1961.0,2031.0
flow_1541_0,1964.0,2034.0
flow_926_0,1971.0,2027.0
flow_941_0,1973.0,2031.0
flow_949_0,1975.0,2046.0
flow_2877_0,1981.0,2050.0
flow_1543_0,1995.0,2056.0
flow_955_0,2001.0,2056.0
flow_2878_0,2001.0,2600.0
flow_1758_0,2011.0,2336.0
flow_2410_0,2026.0,2116.0
flow_2437_0,2034.0,2096.0
flow_1761_0,2041.0,2116.0
flow_2386_0,2043.0,2121.0
flow_2874_0,2049.0,2100.0
flow_2880_0,2051.0,2121.0
flow_2882_0,2091.0,2166.0
flow_2338_0,2091.0,2156.0
flow_967_0,2101.0,2153.0
flow_970_0,2104.0,2157.0
flow_1330_0,2105.0,2206.0
flow_433_0,2107.0,2177.0
flow_974_0,2107.0,2159.0
flow_2883_0,2110.0,2206.0
flow_1551_0,2113.0,2177.0
flow_1552_0,2132.0,2183.0
flow_1896_0,2135.0,2210.0
flow_1927_0,2138.0,2247.0
flow_1756_0,2150.0,2201.0
flow_1942_0,2151.0,2221.0
