,enter_time,leave_time
flow_2756_0,116.0,186.0
flow_2757_0,129.0,199.0
flow_607_0,146.0,215.0
flow_2758_0,161.0,231.0
flow_2759_0,164.0,646.0
flow_2760_0,168.0,238.0
flow_2761_0,191.0,261.0
flow_2024_0,224.0,275.0
flow_2765_0,233.0,326.0
flow_2766_0,246.0,316.0
flow_2028_0,253.0,306.0
flow_2768_0,272.0,346.0
flow_619_0,291.0,367.0
flow_2038_0,299.0,351.0
flow_2027_0,301.0,376.0
flow_2046_0,304.0,666.0
flow_2772_0,324.0,396.0
flow_2773_0,337.0,407.0
flow_2775_0,363.0,432.0
flow_2054_0,368.0,506.0
flow_1442_0,371.0,423.0
flow_2057_0,374.0,456.0
flow_2776_0,376.0,445.0
flow_2777_0,379.0,448.0
flow_2058_0,385.0,511.0
flow_2061_0,387.0,439.0
flow_2779_0,411.0,481.0
flow_2780_0,430.0,499.0
flow_1847_0,433.0,485.0
flow_1440_0,448.0,671.0
flow_1444_0,473.0,536.0
flow_1447_0,502.0,555.0
flow_1448_0,505.0,558.0
flow_2785_0,521.0,590.0
flow_1452_0,568.0,620.0
flow_1441_0,591.0,687.0
flow_2787_0,601.0,672.0
flow_2789_0,604.0,676.0
flow_214_0,611.0,686.0
flow_649_0,611.0,690.0
flow_2094_0,620.0,707.0
flow_2029_0,621.0,766.0
flow_2097_0,626.0,710.0
flow_2098_0,628.0,726.0
flow_2792_0,641.0,766.0
flow_2764_0,671.0,726.0
flow_670_0,678.0,771.0
flow_1459_0,692.0,745.0
flow_2796_0,693.0,806.0
flow_690_0,721.0,776.0
flow_1857_0,721.0,816.0
flow_1461_0,722.0,776.0
flow_1463_0,725.0,779.0
flow_1466_0,731.0,816.0
flow_2797_0,741.0,1912.0
flow_2798_0,744.0,856.0
flow_2093_0,749.0,861.0
flow_2051_0,761.0,826.0
flow_1464_0,763.0,831.0
flow_222_0,764.0,1226.0
flow_1468_0,766.0,846.0
flow_2799_0,771.0,841.0
flow_2801_0,773.0,866.0
flow_2802_0,790.0,871.0
flow_2121_0,799.0,851.0
flow_2130_0,807.0,860.0
flow_2063_0,809.0,878.0
flow_2102_0,811.0,926.0
flow_2803_0,821.0,890.0
flow_1470_0,822.0,875.0
flow_683_0,825.0,906.0
flow_2805_0,837.0,909.0
flow_239_0,840.0,910.0
flow_1450_0,871.0,937.0
flow_2100_0,891.0,996.0
flow_2186_0,898.0,1001.0
flow_266_0,907.0,976.0
flow_270_0,909.0,1003.0
flow_1239_0,931.0,982.0
flow_2136_0,934.0,987.0
flow_2811_0,941.0,1011.0
flow_2812_0,949.0,1018.0
flow_1683_0,950.0,1019.0
flow_1457_0,968.0,1038.0
flow_46_0,981.0,1051.0
flow_1473_0,1001.0,1076.0
flow_2815_0,1001.0,1076.0
flow_2145_0,1013.0,1066.0
flow_1231_0,1015.0,1086.0
flow_2817_0,1022.0,1091.0
flow_36_0,1023.0,1096.0
flow_38_0,1026.0,1078.0
flow_2818_0,1040.0,1110.0
flow_2096_0,1041.0,1101.0
flow_718_0,1041.0,1096.0
flow_729_0,1043.0,1100.0
flow_2079_0,1051.0,1120.0
flow_2819_0,1052.0,1121.0
flow_1488_0,1072.0,1125.0
flow_2820_0,1081.0,1156.0
flow_2821_0,1083.0,1161.0
flow_2810_0,1086.0,1146.0
flow_43_0,1096.0,1151.0
flow_2822_0,1100.0,1170.0
flow_1692_0,1101.0,1176.0
flow_745_0,1111.0,1196.0
flow_1490_0,1113.0,1196.0
flow_755_0,1113.0,1201.0
flow_2110_0,1116.0,1200.0
flow_56_0,1121.0,1190.0
flow_2169_0,1122.0,1203.0
flow_1694_0,1123.0,1216.0
flow_2166_0,1131.0,1256.0
flow_2168_0,1134.0,1220.0
flow_2175_0,1152.0,1206.0
flow_1494_0,1156.0,1207.0
flow_2184_0,1158.0,1209.0
flow_2824_0,1161.0,1236.0
flow_2825_0,1163.0,1240.0
flow_1485_0,1176.0,1246.0
flow_2150_0,1176.0,1276.0
flow_768_0,1180.0,1256.0
flow_2827_0,1182.0,1252.0
flow_1886_0,1182.0,1246.0
flow_1877_0,1191.0,1276.0
flow_1698_0,1194.0,1264.0
flow_1476_0,1196.0,1267.0
flow_2254_0,1199.0,1281.0
flow_2828_0,1201.0,1271.0
flow_2829_0,1203.0,1280.0
flow_2830_0,1220.0,1296.0
flow_766_0,1231.0,1284.0
flow_1496_0,1231.0,1301.0
flow_778_0,1234.0,1287.0
flow_1500_0,1236.0,1287.0
flow_2192_0,1237.0,1289.0
flow_2831_0,1241.0,1326.0
flow_1234_0,1245.0,1326.0
flow_2832_0,1261.0,1330.0
flow_2833_0,1263.0,1333.0
flow_1258_0,1265.0,1334.0
flow_777_0,1266.0,1336.0
flow_794_0,1271.0,1323.0
flow_800_0,1274.0,1326.0
flow_2834_0,1280.0,1350.0
flow_1693_0,1282.0,1335.0
flow_60_0,1282.0,1334.0
flow_2176_0,1289.0,1358.0
flow_339_0,1291.0,1360.0
flow_1460_0,1292.0,1362.0
flow_1505_0,1293.0,1366.0
flow_2835_0,1300.0,1386.0
flow_828_0,1341.0,1397.0
flow_2199_0,1344.0,1496.0
flow_1720_0,1348.0,1418.0
flow_1509_0,1353.0,1404.0
flow_2836_0,1361.0,1446.0
flow_2837_0,1364.0,1486.0
flow_2191_0,1367.0,1490.0
flow_350_0,1370.0,1441.0
flow_1271_0,1381.0,1432.0
flow_1282_0,1384.0,1941.0
flow_2838_0,1391.0,1556.0
flow_2839_0,1393.0,1561.0
flow_1904_0,1411.0,1481.0
flow_2212_0,1426.0,1477.0
flow_2214_0,1434.0,1487.0
flow_2840_0,1441.0,1516.0
flow_285_0,1441.0,1501.0
flow_2841_0,1444.0,1514.0
flow_2129_0,1444.0,1496.0
flow_1724_0,1450.0,1521.0
flow_2222_0,1463.0,2051.0
flow_2806_0,1474.0,1556.0
flow_2226_0,1492.0,1545.0
flow_2236_0,1503.0,1566.0
flow_824_0,1504.0,1574.0
flow_2844_0,1511.0,1580.0
flow_1896_0,1528.0,1616.0
flow_1281_0,1531.0,1621.0
flow_2846_0,1541.0,1786.0
flow_2847_0,1544.0,2091.0
flow_2243_0,1545.0,1597.0
flow_1735_0,1581.0,1676.0
flow_302_0,1591.0,1676.0
flow_2218_0,1599.0,1680.0
flow_2851_0,1603.0,1696.0
flow_2261_0,1612.0,1665.0
flow_2852_0,1621.0,1791.0
flow_1523_0,1633.0,1686.0
flow_846_0,1641.0,1706.0
flow_853_0,1643.0,1710.0
flow_1289_0,1651.0,1706.0
flow_2853_0,1651.0,1736.0
