,enter_time,leave_time
flow_207_0,101.0,176.0
flow_208_0,103.0,180.0
flow_1652_0,106.0,206.0
flow_209_0,141.0,210.0
flow_211_0,144.0,214.0
flow_214_0,161.0,256.0
flow_215_0,164.0,234.0
flow_1655_0,173.0,261.0
flow_1658_0,242.0,326.0
flow_1_0,261.0,330.0
flow_4_0,263.0,386.0
flow_216_0,271.0,341.0
flow_217_0,274.0,386.0
flow_1223_0,282.0,335.0
flow_218_0,321.0,391.0
flow_219_0,324.0,416.0
flow_1662_0,334.0,404.0
flow_1663_0,357.0,436.0
flow_221_0,361.0,431.0
flow_225_0,364.0,440.0
flow_1665_0,375.0,576.0
flow_1839_0,381.0,581.0
flow_227_0,391.0,583.0
flow_229_0,393.0,586.0
flow_230_0,396.0,588.0
flow_232_0,398.0,590.0
flow_233_0,400.0,606.0
flow_234_0,403.0,473.0
flow_235_0,406.0,610.0
flow_237_0,410.0,479.0
flow_238_0,412.0,626.0
flow_2055_0,432.0,501.0
flow_2035_0,435.0,486.0
flow_2042_0,438.0,489.0
flow_610_0,440.0,491.0
flow_243_0,441.0,630.0
flow_11_0,441.0,511.0
flow_244_0,443.0,646.0
flow_246_0,445.0,515.0
flow_247_0,448.0,651.0
flow_248_0,451.0,522.0
flow_1227_0,453.0,516.0
flow_249_0,471.0,696.0
flow_250_0,474.0,544.0
flow_251_0,476.0,547.0
flow_252_0,479.0,549.0
flow_253_0,481.0,700.0
flow_1230_0,482.0,536.0
flow_254_0,484.0,716.0
flow_1671_0,487.0,720.0
flow_256_0,501.0,571.0
flow_2763_0,501.0,576.0
flow_257_0,504.0,766.0
flow_2081_0,530.0,596.0
flow_2063_0,531.0,636.0
flow_1675_0,545.0,615.0
flow_258_0,551.0,770.0
flow_259_0,553.0,796.0
flow_2074_0,560.0,800.0
flow_1238_0,562.0,615.0
flow_260_0,571.0,641.0
flow_261_0,574.0,816.0
flow_1678_0,596.0,666.0
flow_619_0,601.0,657.0
flow_263_0,611.0,820.0
flow_1679_0,613.0,836.0
flow_264_0,616.0,686.0
flow_2054_0,617.0,896.0
flow_2088_0,631.0,686.0
flow_265_0,631.0,840.0
flow_1657_0,633.0,689.0
flow_267_0,634.0,704.0
flow_1681_0,647.0,896.0
flow_268_0,651.0,842.0
flow_269_0,653.0,845.0
flow_271_0,656.0,847.0
flow_272_0,658.0,850.0
flow_1682_0,658.0,728.0
flow_273_0,660.0,906.0
flow_637_0,661.0,746.0
flow_275_0,663.0,910.0
flow_1244_0,664.0,750.0
flow_1245_0,667.0,752.0
flow_1676_0,706.0,757.0
flow_1685_0,712.0,926.0
flow_276_0,721.0,791.0
flow_277_0,724.0,929.0
flow_280_0,741.0,956.0
flow_281_0,743.0,960.0
flow_2127_0,747.0,806.0
flow_1462_0,761.0,836.0
flow_283_0,761.0,831.0
flow_285_0,764.0,976.0
flow_286_0,766.0,980.0
flow_287_0,770.0,840.0
flow_1248_0,772.0,825.0
flow_288_0,773.0,983.0
flow_289_0,775.0,986.0
flow_290_0,777.0,847.0
flow_291_0,780.0,850.0
flow_292_0,782.0,990.0
flow_1689_0,785.0,901.0
flow_1231_0,811.0,881.0
flow_1260_0,882.0,935.0
flow_1680_0,890.0,941.0
flow_2094_0,898.0,976.0
flow_2098_0,904.0,975.0
flow_2062_0,910.0,980.0
flow_1846_0,911.0,1016.0
flow_2173_0,914.0,1066.0
flow_1697_0,928.0,998.0
flow_1436_0,931.0,996.0
flow_294_0,951.0,1021.0
flow_58_0,952.0,1023.0
flow_297_0,954.0,1024.0
flow_299_0,956.0,1070.0
flow_300_0,959.0,1030.0
flow_301_0,962.0,1086.0
flow_674_0,975.0,1027.0
flow_1701_0,978.0,1048.0
flow_302_0,981.0,1091.0
flow_303_0,983.0,1106.0
flow_2768_0,1001.0,1110.0
flow_2777_0,1003.0,1136.0
flow_304_0,1021.0,1116.0
flow_307_0,1024.0,1140.0
flow_308_0,1027.0,1097.0
flow_310_0,1029.0,1100.0
flow_312_0,1033.0,1176.0
flow_313_0,1035.0,1180.0
flow_314_0,1037.0,1107.0
flow_315_0,1040.0,1306.0
flow_61_0,1041.0,1110.0
flow_2798_0,1041.0,1096.0
flow_316_0,1043.0,1310.0
flow_1707_0,1046.0,1326.0
flow_1267_0,1055.0,1108.0
flow_1696_0,1060.0,1126.0
flow_317_0,1071.0,1330.0
flow_319_0,1073.0,1346.0
flow_48_0,1075.0,1176.0
flow_1711_0,1078.0,1350.0
flow_1700_0,1116.0,1168.0
flow_1715_0,1118.0,1366.0
flow_320_0,1121.0,1370.0
flow_321_0,1124.0,1194.0
flow_2129_0,1124.0,1196.0
flow_2806_0,1138.0,1208.0
flow_1719_0,1158.0,1386.0
flow_1273_0,1185.0,1237.0
flow_1722_0,1188.0,1286.0
flow_1703_0,1189.0,1241.0
flow_324_0,1201.0,1391.0
flow_46_0,1201.0,1252.0
flow_2132_0,1204.0,1255.0
flow_325_0,1204.0,1274.0
flow_2135_0,1207.0,1258.0
flow_318_0,1209.0,1261.0
flow_326_0,1221.0,1291.0
flow_328_0,1224.0,1294.0
flow_1727_0,1238.0,1406.0
flow_1706_0,1239.0,1296.0
flow_329_0,1241.0,1356.0
flow_330_0,1243.0,1361.0
flow_331_0,1245.0,1316.0
flow_335_0,1248.0,1426.0
flow_336_0,1252.0,1416.0
flow_338_0,1254.0,1429.0
flow_340_0,1258.0,1327.0
flow_348_0,1258.0,1316.0
flow_341_0,1261.0,1896.0
flow_342_0,1264.0,1333.0
flow_1730_0,1274.0,1446.0
flow_2283_0,1281.0,1333.0
flow_355_0,1292.0,1344.0
flow_2111_0,1321.0,1390.0
flow_239_0,1324.0,1394.0
flow_1287_0,1326.0,1396.0
flow_2186_0,1327.0,1397.0
flow_795_0,1329.0,1406.0
flow_343_0,1331.0,1401.0
flow_344_0,1334.0,1449.0
flow_1734_0,1338.0,1408.0
flow_1497_0,1342.0,1394.0
flow_345_0,1351.0,1466.0
flow_346_0,1354.0,1424.0
flow_347_0,1357.0,1469.0
flow_1886_0,1357.0,1428.0
flow_349_0,1359.0,1429.0
flow_351_0,1363.0,1656.0
flow_353_0,1365.0,1486.0
flow_354_0,1368.0,1490.0
flow_357_0,1370.0,1440.0
flow_1736_0,1370.0,1506.0
flow_358_0,1374.0,1510.0
flow_362_0,1376.0,1526.0
flow_364_0,1378.0,1448.0
flow_365_0,1381.0,1660.0
flow_367_0,1384.0,1530.0
flow_370_0,1387.0,1457.0
flow_371_0,1390.0,1566.0
flow_373_0,1393.0,1463.0
flow_368_0,1396.0,1456.0
flow_375_0,1396.0,1570.0
flow_377_0,1399.0,1636.0
flow_379_0,1401.0,1471.0
flow_1738_0,1403.0,1474.0
flow_380_0,1404.0,1640.0
flow_1714_0,1406.0,1476.0
flow_382_0,1407.0,1477.0
flow_383_0,1410.0,1666.0
flow_384_0,1414.0,1483.0
flow_1503_0,1431.0,1496.0
flow_1485_0,1444.0,1526.0
flow_1299_0,1446.0,1616.0
flow_386_0,1451.0,1670.0
flow_388_0,1453.0,1673.0
flow_391_0,1456.0,1676.0
flow_392_0,1458.0,1680.0
flow_396_0,1460.0,1530.0
flow_397_0,1463.0,1746.0
flow_398_0,1466.0,1750.0
flow_399_0,1468.0,1752.0
flow_400_0,1470.0,1755.0
flow_402_0,1473.0,1758.0
flow_403_0,1491.0,1936.0
flow_404_0,1494.0,1760.0
flow_405_0,1496.0,1941.0
flow_407_0,1499.0,1846.0
flow_721_0,1501.0,1552.0
flow_739_0,1504.0,1556.0
flow_1745_0,1514.0,1584.0
flow_2144_0,1521.0,1620.0
flow_741_0,1523.0,1706.0
flow_410_0,1531.0,1601.0
flow_411_0,1533.0,1604.0
flow_1725_0,1546.0,1598.0
flow_1748_0,1558.0,1850.0
flow_1878_0,1560.0,1611.0
flow_1305_0,1562.0,1615.0
flow_350_0,1564.0,1635.0
flow_1308_0,1581.0,1646.0
flow_838_0,1581.0,1651.0
flow_1721_0,1581.0,1711.0
flow_2151_0,1584.0,1650.0
flow_412_0,1621.0,1896.0
flow_413_0,1623.0,1900.0
flow_1751_0,1627.0,1956.0
flow_415_0,1671.0,1961.0
flow_416_0,1673.0,1996.0
flow_417_0,1701.0,2000.0
flow_419_0,1703.0,2066.0
flow_2182_0,1711.0,1766.0
flow_420_0,1721.0,1791.0
flow_423_0,1724.0,2070.0
flow_1750_0,1726.0,1786.0
flow_424_0,1727.0,2046.0
flow_425_0,1729.0,2116.0
flow_1724_0,1730.0,1800.0
flow_426_0,1731.0,2120.0
flow_427_0,1738.0,2136.0
flow_2193_0,1761.0,1813.0
flow_1759_0,1789.0,2140.0
flow_1881_0,1791.0,1866.0
flow_1892_0,1793.0,1870.0
flow_2200_0,1804.0,1856.0
flow_1737_0,1806.0,1876.0
flow_1760_0,1810.0,1880.0
flow_429_0,1821.0,1891.0
flow_1749_0,1821.0,1873.0
