,enter_time,leave_time
flow_1436_0,77.0,147.0
flow_1437_0,141.0,210.0
flow_1438_0,181.0,256.0
flow_1439_0,188.0,261.0
flow_1440_0,271.0,346.0
flow_1441_0,273.0,759.0
flow_1442_0,331.0,758.0
flow_1224_0,351.0,426.0
flow_1654_0,353.0,430.0
flow_17_0,361.0,430.0
flow_2028_0,361.0,413.0
flow_19_0,369.0,457.0
flow_1444_0,391.0,461.0
flow_1445_0,394.0,463.0
flow_619_0,401.0,453.0
flow_212_0,401.0,470.0
flow_213_0,403.0,486.0
flow_2764_0,409.0,476.0
flow_214_0,441.0,547.0
flow_217_0,445.0,497.0
flow_637_0,457.0,527.0
flow_13_0,466.0,517.0
flow_1447_0,491.0,561.0
flow_1448_0,493.0,564.0
flow_1449_0,531.0,626.0
flow_1450_0,533.0,1006.0
flow_1452_0,551.0,621.0
flow_1453_0,554.0,676.0
flow_649_0,579.0,666.0
flow_222_0,601.0,1383.0
flow_1229_0,603.0,681.0
flow_1457_0,611.0,1137.0
flow_1458_0,613.0,696.0
flow_1459_0,615.0,686.0
flow_1460_0,618.0,700.0
flow_1461_0,621.0,692.0
flow_1231_0,641.0,1276.0
flow_1233_0,643.0,731.0
flow_33_0,651.0,726.0
flow_2054_0,671.0,756.0
flow_2058_0,674.0,726.0
flow_2790_0,685.0,846.0
flow_1463_0,701.0,771.0
flow_1464_0,703.0,774.0
flow_1239_0,711.0,806.0
flow_1242_0,714.0,846.0
flow_1468_0,721.0,791.0
flow_1470_0,723.0,794.0
flow_2112_0,771.0,851.0
flow_1250_0,773.0,866.0
flow_1471_0,781.0,856.0
flow_1472_0,784.0,866.0
flow_1252_0,801.0,871.0
flow_1254_0,803.0,946.0
flow_690_0,815.0,876.0
flow_1256_0,841.0,911.0
flow_2796_0,851.0,902.0
flow_36_0,852.0,921.0
flow_38_0,854.0,925.0
flow_2798_0,858.0,910.0
flow_1473_0,861.0,946.0
flow_1474_0,864.0,956.0
flow_2051_0,880.0,971.0
flow_39_0,901.0,976.0
flow_43_0,905.0,975.0
flow_1689_0,911.0,996.0
flow_1475_0,931.0,1000.0
flow_1476_0,933.0,1487.0
flow_1478_0,951.0,1021.0
flow_266_0,953.0,1010.0
flow_1480_0,953.0,1047.0
flow_718_0,956.0,1026.0
flow_2806_0,956.0,1116.0
flow_48_0,981.0,1120.0
flow_53_0,983.0,1122.0
flow_293_0,1021.0,1096.0
flow_1485_0,1021.0,1356.0
flow_1486_0,1023.0,1101.0
flow_1262_0,1024.0,1094.0
flow_2797_0,1031.0,1116.0
flow_2161_0,1041.0,1111.0
flow_2167_0,1044.0,1146.0
flow_1263_0,1046.0,1150.0
flow_1870_0,1049.0,1246.0
flow_60_0,1051.0,1121.0
flow_2810_0,1055.0,1125.0
flow_2813_0,1058.0,1146.0
flow_2094_0,1061.0,1136.0
flow_2097_0,1063.0,1141.0
flow_2098_0,1066.0,1418.0
flow_1268_0,1101.0,1172.0
flow_1691_0,1104.0,1250.0
flow_1487_0,1121.0,1246.0
flow_1488_0,1124.0,1194.0
flow_729_0,1141.0,1196.0
flow_67_0,1143.0,1194.0
flow_745_0,1143.0,1199.0
flow_1270_0,1181.0,1252.0
