,enter_time,leave_time
flow_2756_0,116.0,196.0
flow_2757_0,129.0,199.0
flow_2758_0,142.0,212.0
flow_2759_0,155.0,619.0
flow_2760_0,168.0,238.0
flow_2761_0,181.0,251.0
flow_2024_0,220.0,272.0
flow_2028_0,236.0,307.0
flow_2765_0,241.0,326.0
flow_2766_0,246.0,316.0
flow_2768_0,272.0,346.0
flow_2038_0,276.0,328.0
flow_2772_0,331.0,400.0
flow_2029_0,333.0,416.0
flow_2773_0,337.0,407.0
flow_619_0,351.0,407.0
flow_2775_0,363.0,432.0
flow_2776_0,376.0,456.0
flow_2777_0,379.0,461.0
flow_1442_0,382.0,435.0
flow_2027_0,391.0,460.0
flow_2054_0,392.0,506.0
flow_2046_0,394.0,556.0
flow_2057_0,398.0,450.0
flow_2058_0,401.0,511.0
flow_2061_0,403.0,455.0
flow_1440_0,422.0,561.0
flow_2779_0,431.0,501.0
flow_2780_0,434.0,516.0
flow_1847_0,452.0,505.0
flow_1444_0,453.0,506.0
flow_607_0,465.0,534.0
flow_1447_0,482.0,535.0
flow_1448_0,490.0,542.0
flow_2079_0,501.0,570.0
flow_2785_0,521.0,590.0
flow_2094_0,536.0,596.0
flow_2097_0,542.0,600.0
flow_2098_0,544.0,636.0
flow_1452_0,546.0,598.0
flow_2787_0,561.0,631.0
flow_1234_0,565.0,646.0
flow_2789_0,581.0,650.0
flow_2764_0,621.0,676.0
flow_649_0,621.0,677.0
flow_214_0,623.0,679.0
flow_2792_0,632.0,716.0
flow_1441_0,636.0,726.0
flow_2121_0,644.0,697.0
flow_1459_0,652.0,705.0
flow_2093_0,673.0,766.0
flow_2130_0,675.0,727.0
flow_1239_0,681.0,757.0
flow_2102_0,681.0,771.0
flow_1461_0,686.0,760.0
flow_2796_0,693.0,1086.0
flow_1463_0,700.0,777.0
flow_2063_0,708.0,786.0
flow_1464_0,714.0,781.0
flow_2136_0,717.0,770.0
flow_2797_0,721.0,1977.0
flow_2798_0,741.0,1091.0
flow_2799_0,743.0,814.0
flow_1468_0,763.0,857.0
flow_1450_0,769.0,856.0
flow_2100_0,771.0,840.0
flow_2801_0,773.0,842.0
flow_239_0,773.0,843.0
flow_1857_0,776.0,846.0
flow_2802_0,790.0,876.0
flow_2145_0,792.0,861.0
flow_1470_0,793.0,847.0
flow_2803_0,805.0,880.0
flow_1466_0,831.0,906.0
flow_2805_0,840.0,910.0
flow_2051_0,841.0,896.0
flow_222_0,844.0,1303.0
flow_2169_0,850.0,901.0
flow_266_0,867.0,937.0
flow_270_0,870.0,946.0
flow_670_0,875.0,946.0
flow_683_0,877.0,949.0
flow_1683_0,890.0,987.0
flow_2175_0,893.0,956.0
flow_690_0,901.0,960.0
flow_718_0,903.0,962.0
flow_2110_0,906.0,957.0
flow_1457_0,931.0,1001.0
flow_36_0,936.0,996.0
flow_2811_0,941.0,1011.0
flow_2150_0,944.0,1026.0
flow_1258_0,945.0,1026.0
flow_2184_0,956.0,1016.0
flow_729_0,971.0,1047.0
flow_745_0,973.0,1050.0
flow_2192_0,976.0,1097.0
flow_1473_0,979.0,1056.0
flow_2096_0,981.0,1046.0
flow_2812_0,991.0,1060.0
flow_38_0,992.0,1044.0
flow_2815_0,993.0,1063.0
flow_1231_0,997.0,1067.0
flow_2199_0,1006.0,1346.0
flow_2817_0,1022.0,1116.0
flow_2212_0,1024.0,1100.0
flow_2214_0,1030.0,1082.0
flow_1692_0,1031.0,1337.0
flow_2166_0,1041.0,1340.0
flow_755_0,1041.0,1103.0
flow_2168_0,1044.0,1116.0
flow_766_0,1045.0,1097.0
flow_2176_0,1050.0,1120.0
flow_2818_0,1061.0,1131.0
flow_2819_0,1064.0,1136.0
flow_285_0,1065.0,1346.0
flow_1488_0,1065.0,1117.0
flow_2820_0,1067.0,1141.0
flow_288_0,1068.0,1126.0
flow_1694_0,1071.0,1140.0
flow_2222_0,1073.0,1806.0
flow_2226_0,1077.0,1128.0
flow_2821_0,1082.0,1151.0
flow_43_0,1083.0,1156.0
flow_768_0,1095.0,1337.0
flow_777_0,1098.0,1167.0
flow_46_0,1101.0,1171.0
flow_2236_0,1102.0,1156.0
flow_56_0,1103.0,1186.0
flow_60_0,1106.0,1157.0
flow_2129_0,1111.0,1163.0
flow_2191_0,1120.0,1190.0
flow_778_0,1121.0,1176.0
flow_2822_0,1123.0,1193.0
flow_2186_0,1123.0,1192.0
flow_2824_0,1127.0,1196.0
flow_1490_0,1133.0,1206.0
flow_1494_0,1139.0,1211.0
flow_1698_0,1147.0,1216.0
flow_1496_0,1150.0,1219.0
flow_304_0,1164.0,1234.0
flow_2243_0,1167.0,1296.0
flow_2810_0,1169.0,1296.0
flow_2825_0,1171.0,1240.0
flow_2827_0,1173.0,1243.0
flow_1886_0,1176.0,1301.0
flow_2235_0,1181.0,1526.0
flow_2239_0,1183.0,1253.0
flow_2828_0,1190.0,1260.0
flow_2218_0,1193.0,1263.0
flow_2261_0,1198.0,1250.0
flow_1693_0,1201.0,1253.0
flow_1476_0,1201.0,1271.0
flow_2829_0,1202.0,1271.0
flow_2830_0,1217.0,1286.0
flow_1485_0,1226.0,1296.0
flow_1460_0,1231.0,1301.0
flow_794_0,1231.0,1283.0
flow_2831_0,1232.0,1316.0
flow_1500_0,1233.0,1301.0
flow_800_0,1234.0,1286.0
flow_2832_0,1247.0,1320.0
flow_1271_0,1271.0,1327.0
flow_1877_0,1271.0,1356.0
flow_2833_0,1271.0,1341.0
flow_1282_0,1274.0,2181.0
flow_2834_0,1277.0,1347.0
flow_1505_0,1282.0,1407.0
flow_2242_0,1299.0,1436.0
flow_2835_0,1321.0,1390.0
flow_2806_0,1323.0,1392.0
flow_2292_0,1323.0,1406.0
flow_2836_0,1324.0,1441.0
flow_2293_0,1326.0,1410.0
flow_330_0,1326.0,1436.0
flow_824_0,1330.0,1400.0
flow_1509_0,1334.0,1410.0
flow_2837_0,1340.0,1416.0
flow_1281_0,1350.0,1419.0
flow_2838_0,1360.0,1446.0
flow_2839_0,1377.0,1451.0
flow_339_0,1391.0,1460.0
flow_302_0,1391.0,1461.0
flow_1720_0,1394.0,1464.0
flow_2840_0,1400.0,1806.0
flow_828_0,1401.0,1466.0
flow_2305_0,1405.0,1471.0
flow_2841_0,1420.0,1490.0
flow_2308_0,1432.0,1485.0
flow_2309_0,1436.0,1487.0
flow_350_0,1441.0,1511.0
flow_2295_0,1453.0,1536.0
flow_1724_0,1460.0,1532.0
flow_2317_0,1462.0,1526.0
flow_2319_0,1468.0,1531.0
flow_846_0,1471.0,1546.0
flow_2254_0,1481.0,1556.0
flow_2844_0,1491.0,1560.0
flow_2846_0,1517.0,1810.0
flow_2847_0,1537.0,2000.0
flow_853_0,1551.0,1617.0
flow_855_0,1554.0,1636.0
flow_1735_0,1560.0,1630.0
flow_2348_0,1562.0,1615.0
flow_2357_0,1583.0,1646.0
flow_2358_0,1588.0,1650.0
flow_2339_0,1591.0,1677.0
flow_2318_0,1606.0,1676.0
flow_2361_0,1609.0,1661.0
flow_2851_0,1611.0,1680.0
flow_1523_0,1613.0,1664.0
flow_2852_0,1641.0,2086.0
flow_2853_0,1644.0,1713.0
flow_324_0,1645.0,1786.0
flow_383_0,1648.0,1726.0
flow_1526_0,1651.0,1721.0
flow_2855_0,1671.0,1740.0
flow_2856_0,1674.0,1744.0
flow_1293_0,1685.0,1826.0
flow_1896_0,1687.0,1830.0
flow_2857_0,1691.0,1826.0
flow_2858_0,1694.0,2091.0
flow_2376_0,1714.0,1765.0
flow_2859_0,1721.0,1791.0
flow_1289_0,1731.0,1796.0
flow_1290_0,1735.0,1786.0
flow_351_0,1735.0,1810.0
flow_2379_0,1735.0,1788.0
flow_2861_0,1741.0,1831.0
flow_859_0,1749.0,1801.0
